category,brand,model,series,trim
"Otomobil","Alfa Romeo","145","1.4","1.4"
"Otomobil","Alfa Romeo","145","1.4","TS STD"
"Otomobil","Alfa Romeo","145","1.6","1.6"
"Otomobil","Alfa Romeo","145","1.6","TS SPORTIVO"
"Otomobil","Alfa Romeo","145","1.7","1.7"
"Otomobil","Alfa Romeo","146","1.4","TS"
"Otomobil","Alfa Romeo","146","1.4","TS RITMO"
"Otomobil","Alfa Romeo","146","1.6","TS"
"Otomobil","Alfa Romeo","147","1.6 TS","BLACK LINE"
"Otomobil","Alfa Romeo","147","1.6 TS","DISTINCTIVE"
"Otomobil","Alfa Romeo","147","1.6 TS","PROGRESSION"
"Otomobil","Alfa Romeo","155","2.0","TS SPORT"
"Otomobil","Alfa Romeo","156","1.6 TS","1.6 TS"
"Otomobil","Alfa Romeo","156","1.6 TS","DISTINCTIVE"
"Otomobil","Alfa Romeo","156","1.6 TS","PROGRESSION"
"Otomobil","Alfa Romeo","156","1.9 JTD","1.9 JTD IMPRESSION"
"Otomobil","Alfa Romeo","156","1.9 JTD Impression","1.9 JTD IMPRESSION"
"Otomobil","Alfa Romeo","156","2.0 JTS Distinctive","2.0 JTS DISTINCTIVE"
"Otomobil","Alfa Romeo","156","2.0 TS","2.0 TS"
"Otomobil","Alfa Romeo","156","2.0 TS","DISTINCTIVE"
"Otomobil","Alfa Romeo","156","2.0 TS","EXECUTIVE"
"Otomobil","Alfa Romeo","156","2.0 TS","SELESPEED"
"Otomobil","Alfa Romeo","156","2.4 JTD","2.4 JTD"
"Otomobil","Alfa Romeo","159","1.9 JTD","DISTINCTIVE"
"Otomobil","Alfa Romeo","159","1.9 JTD","DISTINCTIVE PLUS"
"Otomobil","Alfa Romeo","159","1.9 JTS","DISTINCTIVE"
"Otomobil","Alfa Romeo","159","1.9 JTS","DISTINCTIVE PLUS"
"Otomobil","Alfa Romeo","159","1.9 JTS","PROGRESSION"
"Otomobil","Alfa Romeo","166","2.0","TS DISTINCTIVE"
"Otomobil","Alfa Romeo","Brera","3.2","JTS Q4 SKY WINDOW"
"Otomobil","Alfa Romeo","Giulia","2.0 T","SPRINT"
"Otomobil","Alfa Romeo","Giulia","2.0 T","VELOCE"
"Otomobil","Alfa Romeo","Giulietta","1.4 TB","DISTINCTIVE"
"Otomobil","Alfa Romeo","Giulietta","1.4 TB","MULTIAIR DISTINCTIVE"
"Otomobil","Alfa Romeo","Giulietta","1.4 TB","MULTIAIR PROGRESSION PLUSE"
"Otomobil","Alfa Romeo","Giulietta","1.4 TB","MULTIAIR SUPER TCT"
"Otomobil","Alfa Romeo","Giulietta","1.4 TB","PROGRESSION PLUS"
"Otomobil","Alfa Romeo","Giulietta","1.6 JTD","DISTINCTIVE"
"Otomobil","Alfa Romeo","Giulietta","1.6 JTD","PROGRESSION"
"Otomobil","Alfa Romeo","Giulietta","1.6 JTD","PROGRESSION PLUS"
"Otomobil","Alfa Romeo","Giulietta","1.6 JTD","SPRINT"
"Otomobil","Alfa Romeo","Giulietta","1.6 JTD","SUPER"
"Otomobil","Alfa Romeo","Giulietta","1.6 JTD","SUPER TCT"
"Otomobil","Alfa Romeo","Giulietta","1.6 JTDM-2","PROGRESSION"
"Otomobil","Alfa Romeo","Giulietta","1.6 JTDM-2","SPRINT"
"Otomobil","Alfa Romeo","Giulietta","1.6 JTDM-2","SUPER"
"Otomobil","Alfa Romeo","Giulietta","1.75 TBi","QUADRIFOGLIO VERDE"
"Otomobil","Alfa Romeo","GT","2.0 JTS","DISTINCTIVE"
"Otomobil","Alfa Romeo","GTV","2.0 TB","2.0 TB"
"Otomobil","Alfa Romeo","MiTo","1.4 T","DISTINCTIVE"
"Otomobil","Alfa Romeo","MiTo","1.4 T","MULTIAIR"
"Otomobil","Alfa Romeo","MiTo","1.4 T","MULTIAIR QUADRIFOGLIO VERDE"
"Otomobil","Alfa Romeo","MiTo","1.4 T","PROGRESSION"
"Otomobil","Arora","S1","",""
"Otomobil","Aston Martin","DB7","Volante","VOLANTE"
"Otomobil","Aston Martin","Rapide","V12 Rapide S","V12 RAPIDE S"
"Otomobil","Aston Martin","Vanquish","V12",""
"Otomobil","Aston Martin","Vantage","V8 Vantage",""
"Otomobil","Aston Martin","Vantage","V8 Vantage Roadster","V8 VANTAGE ROADSTER"
"Otomobil","Audi","A1","1.4 TFSI","AMBITION"
"Otomobil","Audi","A1","1.4 TFSI","ATTRACTION"
"Otomobil","Audi","A1","1.6 TDI","1.6 TDI SPORTBACK"
"Otomobil","Audi","A1","1.6 TDI","AMBITION"
"Otomobil","Audi","A1","1.6 TDI","ATTRACTION"
"Otomobil","Audi","A1","1.6 TDI","SPORT"
"Otomobil","Audi","A1","1.6 TDI Sportback","AMBITION"
"Otomobil","Audi","A1","1.6 TDI Sportback","ATTRACTION"
"Otomobil","Audi","A1","1.6 TDI Sportback","SPORT"
"Otomobil","Audi","E-Tron","E-Tron GT","GT QUATTRO"
"Otomobil","Audi","E-Tron","E-Tron GT","GT RS"
"Otomobil","Audi","E-Tron GT","GT Quattro","GT QUATTRO"
"Otomobil","Audi","E-Tron GT","GT RS","GT RS"
"Otomobil","Audi","TTS","2.0 TFSI","QUATTRO"
"Otomobil","Audi","A2","1.4","1.4"
"Otomobil","Audi","A3","A3 Sportback","1.0 TFSI"
"Otomobil","Audi","A3","A3 Sportback","1.2 TFSI"
"Otomobil","Audi","A3","A3 Sportback","1.4 TFSI"
"Otomobil","Audi","A3","A3 Sportback","1.6"
"Otomobil","Audi","A3","A3 Sportback","1.6 FSI"
"Otomobil","Audi","A3","A3 Sportback","1.6 SPORTBACK"
"Otomobil","Audi","A3","A3 Sportback","1.6 TDI"
"Otomobil","Audi","A3","A3 Sportback","1.8"
"Otomobil","Audi","A3","A3 Sportback","1.8 T"
"Otomobil","Audi","A3","A3 Sportback","1.8 TFSI"
"Otomobil","Audi","A3","A3 Sportback","1.9 TDI"
"Otomobil","Audi","A3","A3 Sportback","2.0 FSI"
"Otomobil","Audi","A3","A3 Sportback","2.0 TDI"
"Otomobil","Audi","A3","A3 Sportback","30 TDI"
"Otomobil","Audi","A3","A3 Sportback","30 TFSI"
"Otomobil","Audi","A3","A3 Sportback","35 TFSI"
"Otomobil","Audi","A4","A4 Allroad Quattro","2.0 TDI"
"Otomobil","Audi","A4","A4 Allroad Quattro","2.0 TFSI"
"Otomobil","Audi","A4","A4 Avant","2.0 TDI DESIGN"
"Otomobil","Audi","A5","A5 Sportback","1.4 TFSI"
"Otomobil","Audi","A5","A5 Sportback","2.0 TDI"
"Otomobil","Audi","A5","A5 Sportback","2.0 TDI QUATTRO"
"Otomobil","Audi","A5","A5 Sportback","2.0 TDI QUATTRO ADVANCED"
"Otomobil","Audi","A5","A5 Sportback","2.0 TDI QUATTRO DESIGN"
"Otomobil","Audi","A5","A5 Sportback","2.0 TDI QUATTRO DYNAMIC"
"Otomobil","Audi","A5","A5 Sportback","2.0 TDI QUATTRO SPORT"
"Otomobil","Audi","A5","A5 Sportback","2.0 TFSI QUATTRO"
"Otomobil","Audi","A5","A5 Sportback","40 TDI QUATTRO"
"Otomobil","Audi","A5","A5 Sportback","45 TFSI QUATTRO"
"Otomobil","Audi","A6","A6 Avant","40 TDI QUATTRO"
"Otomobil","Audi","A6","A6 Avant","45 TFSI QUATTRO"
"Otomobil","Audi","A6","E-Tron","E-TRON"
"Otomobil","Audi","A6","A6 Allroad Quattro","2.7 T"
"Otomobil","Audi","A6","A6 Allroad Quattro","2.7 TDI"
"Otomobil","Audi","A6","A6 Allroad Quattro","3.0 TDI"
"Otomobil","Audi","A7","2.0 TFSI","2.0 TFSI"
"Otomobil","Audi","A7","3.0 TDI","3.0 TDI"
"Otomobil","Audi","A7","40 TDI","40 TDI"
"Otomobil","Audi","A7","45 TFSI","45 TFSI"
"Otomobil","Audi","A7","50 TDI","50 TDI"
"Otomobil","Audi","A8","2.5 TDI","2.5 TDI"
"Otomobil","Audi","A8","3.0 TDI","QUATTRO"
"Otomobil","Audi","A8","3.0 TDI","QUATTRO LONG"
"Otomobil","Audi","A8","4.0 TFSI Quattro","4.0 TFSI QUATTRO"
"Otomobil","Audi","A8","4.2","QUATTRO"
"Otomobil","Audi","A8","4.2","QUATTRO LONG"
"Otomobil","Audi","A8","4.2","TDI QUATTRO"
"Otomobil","Audi","A8","50 TDI","QUATTRO LONG"
"Otomobil","Audi","A8","55 TFSI","QUATTRO LONG"
"Otomobil","Audi","R8","4.2 FSI","QUATTRO R-TRONIC"
"Otomobil","Audi","R8","5.2 FSI","QUATTRO R-TRONIC"
"Otomobil","Audi","RS","RS6","RS6"
"Otomobil","Audi","RS","RS7","RS7"
"Otomobil","Audi","TT","1.8","1.8 T"
"Otomobil","Audi","TT","1.8","T QUATTRO"
"Otomobil","Audi","TT","2.0","TDI QUATTRO"
"Otomobil","Audi","TT","2.0","TFSI"
"Otomobil","Audi","TT","2.0","TFSI QUATTRO"
"Otomobil","Audi","80 Serisi","1.6","1.6 D"
"Otomobil","Audi","80 Serisi","1.6","1.6 TD"
"Otomobil","Audi","80 Serisi","1.6 D","1.6 D"
"Otomobil","Audi","80 Serisi","1.6 TD","1.6 TD"
"Otomobil","Audi","80 Serisi","1.8 S","1.8 S"
"Otomobil","Audi","80 Serisi","1.9 TDI","1.9 TDI"
"Otomobil","Audi","90 Serisi","2.0","2.0"
"Otomobil","Audi","90 Serisi","2.3","2.3"
"Otomobil","Audi","100 Serisi","1.8","1.8"
"Otomobil","Audi","100 Serisi","2.0","2.0 D"
"Otomobil","Audi","100 Serisi","2.0 D","2.0 D"
"Otomobil","Audi","100 Serisi","2.3","2.3"
"Otomobil","Audi","200 Serisi","2.1","2.1"
"Otomobil","Bentley","Continental","Flying Spur","FLYING SPUR"
"Otomobil","Bentley","Continental","GT","GT SPEED"
"Otomobil","Bentley","Continental","GT","GT SUPERSPORTS"
"Otomobil","Bentley","Continental","GT Speed","GT SPEED"
"Otomobil","Bentley","Continental","GT Supersports","GT SUPERSPORTS"
"Otomobil","Bentley","Continental","GTC","GTC"
"Otomobil","Bentley","Flying Spur","4.0","4.0"
"Otomobil","Bentley","Flying Spur","6.0","6.0"
"Otomobil","BMW","1 Serisi","116d","116D ED"
"Otomobil","BMW","1 Serisi","116d","COMFORT"
"Otomobil","BMW","1 Serisi","116d","FIRST EDITION LUXURY LINE"
"Otomobil","BMW","1 Serisi","116d","FIRST EDITION M SPORT"
"Otomobil","BMW","1 Serisi","116d","FIRST EDITION SPORT LINE"
"Otomobil","BMW","1 Serisi","116d","JOY"
"Otomobil","BMW","1 Serisi","116d","JOY PLUS"
"Otomobil","BMW","1 Serisi","116d","M PLUS"
"Otomobil","BMW","1 Serisi","116d","M SPORT"
"Otomobil","BMW","1 Serisi","116d","ONE EDITION"
"Otomobil","BMW","1 Serisi","116d","PREMIUM LINE"
"Otomobil","BMW","1 Serisi","116d","SPORT LINE"
"Otomobil","BMW","1 Serisi","116d","SPORT PLUS"
"Otomobil","BMW","1 Serisi","116d ED","EFFICIENTDYNAMICS"
"Otomobil","BMW","1 Serisi","116d ED","JOY"
"Otomobil","BMW","1 Serisi","116d ED","JOY PLUS"
"Otomobil","BMW","1 Serisi","116d ED","SPORT LINE"
"Otomobil","BMW","1 Serisi","116i","ADVANTAGE"
"Otomobil","BMW","1 Serisi","116i","COMFORT"
"Otomobil","BMW","1 Serisi","116i","JOY EDITION"
"Otomobil","BMW","1 Serisi","116i","M SPORT"
"Otomobil","BMW","1 Serisi","116i","PREMIUM"
"Otomobil","BMW","1 Serisi","116i","PURE"
"Otomobil","BMW","1 Serisi","116i","SPORT LINE"
"Otomobil","BMW","1 Serisi","116i","STANDART"
"Otomobil","BMW","1 Serisi","116i","TECHNOLOGY"
"Otomobil","BMW","1 Serisi","116i","URBAN LINE"
"Otomobil","BMW","1 Serisi","118d","118D"
"Otomobil","BMW","1 Serisi","118i","118I"
"Otomobil","BMW","1 Serisi","118i","COMFORT"
"Otomobil","BMW","1 Serisi","118i","FIRST EDITION M SPORT"
"Otomobil","BMW","1 Serisi","118i","FIRST EDITION SPORT LINE"
"Otomobil","BMW","1 Serisi","118i","JOY"
"Otomobil","BMW","1 Serisi","118i","JOY PLUS"
"Otomobil","BMW","1 Serisi","118i","M PLUS"
"Otomobil","BMW","1 Serisi","118i","M SPORT"
"Otomobil","BMW","1 Serisi","118i","ONE EDITION"
"Otomobil","BMW","1 Serisi","118i","PREMIUM"
"Otomobil","BMW","1 Serisi","118i","PREMIUM LINE"
"Otomobil","BMW","1 Serisi","118i","PURE"
"Otomobil","BMW","1 Serisi","118i","SPORT LINE"
"Otomobil","BMW","1 Serisi","118i","SPORT PLUS"
"Otomobil","BMW","1 Serisi","118i","STANDART"
"Otomobil","BMW","1 Serisi","118i","URBAN LINE"
"Otomobil","BMW","1 Serisi","120d","120D"
"Otomobil","BMW","1 Serisi","120i","M PLUS"
"Otomobil","BMW","1 Serisi","120i","M SPORT"
"Otomobil","BMW","1 Serisi","120i","STANDART"
"Otomobil","BMW","2 Serisi","216d Active Tourer","ACTIVE TOURER"
"Otomobil","BMW","2 Serisi","216d Active Tourer","LUXURY LINE"
"Otomobil","BMW","2 Serisi","216d Active Tourer","SPORT LINE"
"Otomobil","BMW","2 Serisi","216d Gran Tourer","GRAN TOURER"
"Otomobil","BMW","2 Serisi","216d Gran Tourer","LUXURY LINE"
"Otomobil","BMW","2 Serisi","218i","218I ACTIVE TOURER"
"Otomobil","BMW","2 Serisi","218i","LUXURY LINE"
"Otomobil","BMW","2 Serisi","218i","M SPORT"
"Otomobil","BMW","2 Serisi","218i","PRESTIGE"
"Otomobil","BMW","2 Serisi","218i","SPORT LINE"
"Otomobil","BMW","2 Serisi","218i Active Tourer","ACTIVE TOURER"
"Otomobil","BMW","2 Serisi","218i Active Tourer","LUXURY LINE"
"Otomobil","BMW","2 Serisi","218i Active Tourer","LUXURY PLUS"
"Otomobil","BMW","2 Serisi","218i Active Tourer","PRESTIGE"
"Otomobil","BMW","2 Serisi","218i Active Tourer","SPORT LINE"
"Otomobil","BMW","2 Serisi","220d","STANDART"
"Otomobil","BMW","2 Serisi","220i Active Tourer","LUXURY LINE"
"Otomobil","BMW","2 Serisi","230e xDrive","LUXURY LINE"
"Otomobil","BMW","2 Serisi","230e xDrive","M SPORT"
"Otomobil","BMW","3 Serisi","315","315"
"Otomobil","BMW","3 Serisi","316","316CI"
"Otomobil","BMW","3 Serisi","316","316I"
"Otomobil","BMW","3 Serisi","316","316TI"
"Otomobil","BMW","3 Serisi","316","316"
"Otomobil","BMW","3 Serisi","316Ci","316CI"
"Otomobil","BMW","3 Serisi","316i","ADVANTAGE"
"Otomobil","BMW","3 Serisi","316i","COMFORT"
"Otomobil","BMW","3 Serisi","316i","COMPACT"
"Otomobil","BMW","3 Serisi","316i","EXCLUSIVE"
"Otomobil","BMW","3 Serisi","316i","LUXURY LINE"
"Otomobil","BMW","3 Serisi","316i","M SPORT"
"Otomobil","BMW","3 Serisi","316i","MODERN LINE"
"Otomobil","BMW","3 Serisi","316i","PREMIUM"
"Otomobil","BMW","3 Serisi","316i","SPORT"
"Otomobil","BMW","3 Serisi","316i","SPORT LINE"
"Otomobil","BMW","3 Serisi","316i","STANDART"
"Otomobil","BMW","3 Serisi","316i","TECHNO PLUS"
"Otomobil","BMW","3 Serisi","316i","TECHNOLOGY"
"Otomobil","BMW","3 Serisi","316i","TOURING"
"Otomobil","BMW","3 Serisi","316ti","COMPACT"
"Otomobil","BMW","3 Serisi","318Ci","318CI"
"Otomobil","BMW","3 Serisi","318d","40TH YEAR EDITION"
"Otomobil","BMW","3 Serisi","318d","JOY"
"Otomobil","BMW","3 Serisi","318d","M PLUS"
"Otomobil","BMW","3 Serisi","318d","PREMIUM"
"Otomobil","BMW","3 Serisi","318d","PRESTIGE"
"Otomobil","BMW","3 Serisi","318d","SPORT PLUS"
"Otomobil","BMW","3 Serisi","318i","40TH YEAR EDITION"
"Otomobil","BMW","3 Serisi","318i","EDITION LUXURY LINE"
"Otomobil","BMW","3 Serisi","318i","EDITION M SPORT"
"Otomobil","BMW","3 Serisi","318i","EDITION SPORT LINE"
"Otomobil","BMW","3 Serisi","318i","JOY"
"Otomobil","BMW","3 Serisi","318i","M JOY"
"Otomobil","BMW","3 Serisi","318i","M JOY PLUS"
"Otomobil","BMW","3 Serisi","318i","M PLUS"
"Otomobil","BMW","3 Serisi","318i","M SPORT"
"Otomobil","BMW","3 Serisi","318i","PREMIUM LINE"
"Otomobil","BMW","3 Serisi","318i","PRESTIGE"
"Otomobil","BMW","3 Serisi","318i","PURE"
"Otomobil","BMW","3 Serisi","318i","SPORT LINE"
"Otomobil","BMW","3 Serisi","318i","SPORT PLUS"
"Otomobil","BMW","3 Serisi","318i","STANDART"
"Otomobil","BMW","3 Serisi","318i","TOURING"
"Otomobil","BMW","3 Serisi","318is","318IS"
"Otomobil","BMW","3 Serisi","318tds","STANDART"
"Otomobil","BMW","3 Serisi","318ti","COMPACT"
"Otomobil","BMW","3 Serisi","320Cd","320CD"
"Otomobil","BMW","3 Serisi","320Ci","320CI"
"Otomobil","BMW","3 Serisi","320d","320D GT"
"Otomobil","BMW","3 Serisi","320d","320D XDRIVE"
"Otomobil","BMW","3 Serisi","320d","320D XDRIVE GT"
"Otomobil","BMW","3 Serisi","320d","40TH YEAR EDITION"
"Otomobil","BMW","3 Serisi","320d","ADVANTAGE"
"Otomobil","BMW","3 Serisi","320d","COMFORT"
"Otomobil","BMW","3 Serisi","320d","EDITION COMFORT"
"Otomobil","BMW","3 Serisi","320d","EDITION M SPORT"
"Otomobil","BMW","3 Serisi","320d","LUXURY"
"Otomobil","BMW","3 Serisi","320d","M SPORT"
"Otomobil","BMW","3 Serisi","320d","MODERN LINE"
"Otomobil","BMW","3 Serisi","320d","PREMIUM"
"Otomobil","BMW","3 Serisi","320d","PREMIUM LINE"
"Otomobil","BMW","3 Serisi","320d","SPORT"
"Otomobil","BMW","3 Serisi","320d","SPORT LINE"
"Otomobil","BMW","3 Serisi","320d","SPORT PLUS"
"Otomobil","BMW","3 Serisi","320d","STANDART"
"Otomobil","BMW","3 Serisi","320d","TECHNO PLUS"
"Otomobil","BMW","3 Serisi","320d","TECHNOLOGY"
"Otomobil","BMW","3 Serisi","320d","TOURING"
"Otomobil","BMW","3 Serisi","320d GT","GRAN TURISMO"
"Otomobil","BMW","3 Serisi","320d GT","LUXURY"
"Otomobil","BMW","3 Serisi","320d GT","SPORT LINE"
"Otomobil","BMW","3 Serisi","320d xDrive","320D XDRIVE GT"
"Otomobil","BMW","3 Serisi","320d xDrive","40TH YEAR EDITION"
"Otomobil","BMW","3 Serisi","320d xDrive","ADVANTAGE"
"Otomobil","BMW","3 Serisi","320d xDrive","COMFORT PLUS"
"Otomobil","BMW","3 Serisi","320d xDrive","EDITION LUXURY LINE"
"Otomobil","BMW","3 Serisi","320d xDrive","EDITION M SPORT"
"Otomobil","BMW","3 Serisi","320d xDrive","LUXURY LINE"
"Otomobil","BMW","3 Serisi","320d xDrive","M SPORT"
"Otomobil","BMW","3 Serisi","320d xDrive","MODERN LINE"
"Otomobil","BMW","3 Serisi","320d xDrive","PREMIUM"
"Otomobil","BMW","3 Serisi","320d xDrive","PREMIUM LINE"
"Otomobil","BMW","3 Serisi","320d xDrive","PRESTIGE"
"Otomobil","BMW","3 Serisi","320d xDrive","SPORT"
"Otomobil","BMW","3 Serisi","320d xDrive","SPORT LINE"
"Otomobil","BMW","3 Serisi","320d xDrive","STANDART"
"Otomobil","BMW","3 Serisi","320d xDrive","TECHNO PLUS"
"Otomobil","BMW","3 Serisi","320d xDrive GT","GRAN TOURISMO"
"Otomobil","BMW","3 Serisi","320d xDrive GT","LUXURY"
"Otomobil","BMW","3 Serisi","320d xDrive GT","MODERN LINE"
"Otomobil","BMW","3 Serisi","320i","320I ED"
"Otomobil","BMW","3 Serisi","320i","320I"
"Otomobil","BMW","3 Serisi","320i","50TH YEAR M EDITION"
"Otomobil","BMW","3 Serisi","320i","EDITION M SPORT"
"Otomobil","BMW","3 Serisi","320i","EXECUTIVE M SPORT"
"Otomobil","BMW","3 Serisi","320i","FIRST EDITION LUXURY LINE"
"Otomobil","BMW","3 Serisi","320i","FIRST EDITION M SPORT"
"Otomobil","BMW","3 Serisi","320i","FIRST EDITION SPORT LINE"
"Otomobil","BMW","3 Serisi","320i","LUXURY LINE"
"Otomobil","BMW","3 Serisi","320i","M SPORT"
"Otomobil","BMW","3 Serisi","320i","PREMIUM"
"Otomobil","BMW","3 Serisi","320i","SPORT LINE"
"Otomobil","BMW","3 Serisi","320i","TOURING"
"Otomobil","BMW","3 Serisi","320i ED","40TH YEAR EDITION"
"Otomobil","BMW","3 Serisi","320i ED","EDITION"
"Otomobil","BMW","3 Serisi","320i ED","LUXURY LINE"
"Otomobil","BMW","3 Serisi","320i ED","LUXURY LINE PLUS"
"Otomobil","BMW","3 Serisi","320i ED","LUXURY M PLUS"
"Otomobil","BMW","3 Serisi","320i ED","M PLUS"
"Otomobil","BMW","3 Serisi","320i ED","M SPORT"
"Otomobil","BMW","3 Serisi","320i ED","MODERN LINE"
"Otomobil","BMW","3 Serisi","320i ED","MODERN LINE PLUS"
"Otomobil","BMW","3 Serisi","320i ED","SPORT LINE"
"Otomobil","BMW","3 Serisi","320i ED","SPORT PLUS"
"Otomobil","BMW","3 Serisi","320i ED","STANDART"
"Otomobil","BMW","3 Serisi","320i ED","TECHNO PLUS"
"Otomobil","BMW","3 Serisi","320td Compact","320TD COMPACT"
"Otomobil","BMW","3 Serisi","320xd","M SPORT"
"Otomobil","BMW","3 Serisi","323i","323I"
"Otomobil","BMW","3 Serisi","325Ci","325CI"
"Otomobil","BMW","3 Serisi","325i","STANDART"
"Otomobil","BMW","3 Serisi","325xi","TOURING"
"Otomobil","BMW","3 Serisi","328Ci","328CI"
"Otomobil","BMW","3 Serisi","328i","328I XDRIVE"
"Otomobil","BMW","3 Serisi","328i","M SPORT"
"Otomobil","BMW","3 Serisi","328i","SPORT LINE"
"Otomobil","BMW","3 Serisi","328i","STANDART"
"Otomobil","BMW","3 Serisi","328i xDrive","328I XDRIVE"
"Otomobil","BMW","3 Serisi","330Ci","330CI"
"Otomobil","BMW","3 Serisi","330d","M SPORT"
"Otomobil","BMW","3 Serisi","330d","STANDART"
"Otomobil","BMW","3 Serisi","330i","330I XDRIVE"
"Otomobil","BMW","3 Serisi","330i","EDITION SPORT LINE"
"Otomobil","BMW","3 Serisi","330i","STANDART"
"Otomobil","BMW","3 Serisi","330i xDrive","EDITION M SPORT"
"Otomobil","BMW","3 Serisi","330xd","STANDART"
"Otomobil","BMW","3 Serisi","330xi","STANDART"
"Otomobil","BMW","3 Serisi","335i","STANDART"
"Otomobil","BMW","4 Serisi","418d","ULTIMATE M SPORT"
"Otomobil","BMW","4 Serisi","420d","420D XDRIVE"
"Otomobil","BMW","4 Serisi","420d","420D"
"Otomobil","BMW","4 Serisi","420d","LUXURY LINE"
"Otomobil","BMW","4 Serisi","420d","M SPORT"
"Otomobil","BMW","4 Serisi","420d xDrive","M SPORT"
"Otomobil","BMW","4 Serisi","420d xDrive","PREMIUM"
"Otomobil","BMW","4 Serisi","420i","EDITION M SPORT"
"Otomobil","BMW","4 Serisi","420i","M SPORT"
"Otomobil","BMW","4 Serisi","428i","428I XDRIVE"
"Otomobil","BMW","4 Serisi","428i","M SPORT"
"Otomobil","BMW","4 Serisi","428i xDrive","M SPORT"
"Otomobil","BMW","4 Serisi","430i xDrive","LUXURY LINE"
"Otomobil","BMW","4 Serisi","430i xDrive","M SPORT"
"Otomobil","BMW","5 Serisi","518i","STANDART"
"Otomobil","BMW","5 Serisi","520d","520D GRAN TURISMO"
"Otomobil","BMW","5 Serisi","520d","520D XDRIVE"
"Otomobil","BMW","5 Serisi","520d","COMFORT"
"Otomobil","BMW","5 Serisi","520d","DYNAMIC"
"Otomobil","BMW","5 Serisi","520d","EXCLUSIVE"
"Otomobil","BMW","5 Serisi","520d","EXECUTIVE M SPORT"
"Otomobil","BMW","5 Serisi","520d","EXECUTIVE PLUS"
"Otomobil","BMW","5 Serisi","520d","M AERODINAMIK"
"Otomobil","BMW","5 Serisi","520d","M SPORT"
"Otomobil","BMW","5 Serisi","520d","PREMIUM"
"Otomobil","BMW","5 Serisi","520d","PRESTIGE"
"Otomobil","BMW","5 Serisi","520d","SPORT"
"Otomobil","BMW","5 Serisi","520d","STANDART"
"Otomobil","BMW","5 Serisi","520d Gran Turismo","GRAN TURISMO"
"Otomobil","BMW","5 Serisi","520d Gran Turismo","LUXURY LINE"
"Otomobil","BMW","5 Serisi","520d Gran Turismo","M SPORT"
"Otomobil","BMW","5 Serisi","520d xDrive","EXECUTIVE M"
"Otomobil","BMW","5 Serisi","520d xDrive","LUXURY LINE"
"Otomobil","BMW","5 Serisi","520d xDrive","M SPORT"
"Otomobil","BMW","5 Serisi","520d xDrive","PRESTIGE"
"Otomobil","BMW","5 Serisi","520d xDrive","SPECIAL EDITION LUXURY LINE"
"Otomobil","BMW","5 Serisi","520d xDrive","SPECIAL EDITION M SPORT"
"Otomobil","BMW","5 Serisi","520d xDrive","SPORT LINE"
"Otomobil","BMW","5 Serisi","520i","50TH YEAR M EDITION"
"Otomobil","BMW","5 Serisi","520i","BUSINESS"
"Otomobil","BMW","5 Serisi","520i","COMFORT"
"Otomobil","BMW","5 Serisi","520i","COMFORT PLUS"
"Otomobil","BMW","5 Serisi","520i","EDITION M SPORT"
"Otomobil","BMW","5 Serisi","520i","EXECUTIVE"
"Otomobil","BMW","5 Serisi","520i","EXECUTIVE LUXURY LINE"
"Otomobil","BMW","5 Serisi","520i","EXECUTIVE M SPORT"
"Otomobil","BMW","5 Serisi","520i","EXECUTIVE PLUS"
"Otomobil","BMW","5 Serisi","520i","LUXURY LINE"
"Otomobil","BMW","5 Serisi","520i","M SPORT"
"Otomobil","BMW","5 Serisi","520i","MODERN LINE"
"Otomobil","BMW","5 Serisi","520i","PREMIUM"
"Otomobil","BMW","5 Serisi","520i","PRESTIGE"
"Otomobil","BMW","5 Serisi","520i","SPECIAL EDITION LUXURY"
"Otomobil","BMW","5 Serisi","520i","SPECIAL EDITION LUXURY LINE"
"Otomobil","BMW","5 Serisi","520i","SPECIAL EDITION M SPORT"
"Otomobil","BMW","5 Serisi","520i","SPORT"
"Otomobil","BMW","5 Serisi","520i","SPORT LINE"
"Otomobil","BMW","5 Serisi","520i","STANDART"
"Otomobil","BMW","5 Serisi","520i","TOURING"
"Otomobil","BMW","5 Serisi","520Li","520LI"
"Otomobil","BMW","5 Serisi","523i","STANDART"
"Otomobil","BMW","5 Serisi","523i","TOURING"
"Otomobil","BMW","5 Serisi","525 xDrive","TOURING COMFORT"
"Otomobil","BMW","5 Serisi","525d","525D XDRIVE"
"Otomobil","BMW","5 Serisi","525d","STANDART"
"Otomobil","BMW","5 Serisi","525d xDrive","COMFORT"
"Otomobil","BMW","5 Serisi","525d xDrive","EXCLUSIVE"
"Otomobil","BMW","5 Serisi","525d xDrive","EXECUTIVE"
"Otomobil","BMW","5 Serisi","525d xDrive","EXECUTIVE LUXURY"
"Otomobil","BMW","5 Serisi","525d xDrive","EXECUTIVE M SPORT"
"Otomobil","BMW","5 Serisi","525d xDrive","EXECUTIVE PLUS"
"Otomobil","BMW","5 Serisi","525d xDrive","LUXURY"
"Otomobil","BMW","5 Serisi","525d xDrive","LUXURY LINE"
"Otomobil","BMW","5 Serisi","525d xDrive","M SPORT"
"Otomobil","BMW","5 Serisi","525d xDrive","MODERN LINE"
"Otomobil","BMW","5 Serisi","525d xDrive","PREMIUM"
"Otomobil","BMW","5 Serisi","525d xDrive","XDRIVE"
