alt_kategori,resim,tip
satilik-villa,/images/defaults/satilik-villa.webp,varsayilan
satilik-yazlik,/images/defaults/satilik-yazlik.webp,varsayilan
satis,/images/defaults/satis.webp,varsayilan
sekreterlik-ve-idari-asistanlik,/images/defaults/sekreterlik-ve-idari-asistanlik.webp,varsayilan
ses-goruntu-sistemleri,/images/defaults/ses-goruntu-sistemleri.webp,varsayilan
spor-outdoor,/images/defaults/spor-outdoor.webp,varsayilan
surungenler,/images/defaults/surungenler.webp,varsayilan
tam-zamanli,/images/defaults/tam-zamanli.webp,varsayilan
tamir-ve-bakim,/images/defaults/tamir-ve-bakim.webp,varsayilan
tarim-makineleri,/images/defaults/tarim-makineleri.webp,varsayilan
tarim-ve-sarapcilik,/images/defaults/tarim-ve-sarapcilik.webp,varsayilan
tasarim-ve-yaraticilik,/images/defaults/tasarim-ve-yaraticilik.webp,varsayilan
teknik-elektronik,/images/defaults/teknik-elektronik.webp,varsayilan
tekstil-ve-konfeksiyon,/images/defaults/tekstil-ve-konfeksiyon.webp,varsayilan
temizlik-hizmetleri,/images/defaults/temizlik-hizmetleri.webp,varsayilan
ticari-araclar,/images/defaults/ticari-araclar.webp,varsayilan
traktor,/images/defaults/traktor.webp,varsayilan
turistik-tesis,/images/defaults/turistik-tesis.webp,varsayilan
uretim-ve-imalat,/images/defaults/uretim-ve-imalat.webp,varsayilan
yabanci-dil,/images/defaults/yabanci-dil.webp,varsayilan
yari-zamanli-ve-ogrenci-isleri,/images/defaults/yari-zamanli-ve-ogrenci-isleri.webp,varsayilan
yari-zamanli,/images/defaults/yari-zamanli.webp,varsayilan
stajyer,/images/defaults/stajyer.webp,varsayilan
beyaz-esya,/images/defaults/beyaz-esya.webp,varsayilan
yem-mama,/images/defaults/yem-mama.webp,varsayilan
